,sentence,sentence_opposite,DP,DP_opposite,D,D_opposite,A,A_opposite,N,N_opposite,ADV,ADV_opposite,V,V_opposite,other_args,other_args_opposite,label,pairID,slen
1,Those lucky children scarcely breed the rabbits nowadays.,That lucky child scarcely breeds the rabbits nowadays.,Those children,That child,Those,That,lucky,lucky,children,child,scarcely,scarcely,breed,breeds,"['the', 'rabbits']","['the', 'rabbits']",1,1,8
4,This scared contractor always steals the donation nowadays.,These scared contractors always steal the donation nowadays.,This contractor,These contractors,This,These,scared,scared,contractor,contractors,always,always,steals,steal,"['the', 'donation']","['the', 'donation']",0,4,8
5,This ugly boy rarely draws the print nowadays.,These ugly boys rarely draw the print nowadays.,This boy,These boys,This,These,ugly,ugly,boy,boys,rarely,rarely,draws,draw,"['the', 'print']","['the', 'print']",0,5,8
7,Those sad guests rarely tour the cafes nowadays.,That sad guest rarely tours the cafes nowadays.,Those guests,That guest,Those,That,sad,sad,guests,guest,rarely,rarely,tour,tours,"['the', 'cafes']","['the', 'cafes']",1,7,8
9,These unattractive senators seldom tear the dresses nowadays.,This unattractive senator seldom tears the dresses nowadays.,These senators,This senator,These,This,unattractive,unattractive,senators,senator,seldom,seldom,tear,tears,"['the', 'dresses']","['the', 'dresses']",1,9,8
10,That tiny muffin sometimes embarrasses the guy nowadays.,Those tiny muffin sometimes embarrass the guy nowadays.,That muffin,Those muffin,That,Those,tiny,tiny,muffin,muffin,sometimes,sometimes,embarrasses,embarrass,"['the', 'guy']","['the', 'guy']",0,10,8
11,Those clean plates hardly scare the legislatures nowadays.,That clean plate hardly scares the legislatures nowadays.,Those plates,That plate,Those,That,clean,clean,plates,plate,hardly,hardly,scare,scares,"['the', 'legislatures']","['the', 'legislatures']",1,11,8
12,Those lost teachers hardly confuse the waiters nowadays.,That lost teacher hardly confuses the waiters nowadays.,Those teachers,That teacher,Those,That,lost,lost,teachers,teacher,hardly,hardly,confuse,confuses,"['the', 'waiters']","['the', 'waiters']",1,12,8
13,This small closet scarcely disgusts the doctor nowadays.,These small closets scarcely disgust the doctor nowadays.,This closet,These closets,This,These,small,small,closet,closets,scarcely,scarcely,disgusts,disgust,"['the', 'doctor']","['the', 'doctor']",0,13,8
14,These short girls seldom repair the planes nowadays.,This short girl seldom repairs the planes nowadays.,These girls,This girl,These,This,short,short,girls,girl,seldom,seldom,repair,repairs,"['the', 'planes']","['the', 'planes']",1,14,8
15,This bad documentary often scares the guys nowadays.,These bad documentaries often scare the guys nowadays.,This documentary,These documentaries,This,These,bad,bad,documentary,documentaries,often,often,scares,scare,"['the', 'guys']","['the', 'guys']",0,15,8
17,That nice teacher hardly shoots the teenagers nowadays.,Those nice teachers hardly shoot the teenagers nowadays.,That teacher,Those teachers,That,Those,nice,nice,teacher,teachers,hardly,hardly,shoots,shoot,"['the', 'teenagers']","['the', 'teenagers']",0,17,8
18,Those nice girls ever question the actress nowadays.,That nice girl ever questions the actress nowadays.,Those girls,That girl,Those,That,nice,nice,girls,girl,ever,ever,question,questions,"['the', 'actress']","['the', 'actress']",1,18,8
19,These bad snakes barely descend the ladders nowadays.,This bad snake barely descends the ladders nowadays.,These snakes,This snake,These,This,bad,bad,snakes,snake,barely,barely,descend,descends,"['the', 'ladders']","['the', 'ladders']",1,19,8
20,These smart handymen seldom drink the beer nowadays.,This smart handyman seldom drinks the beer nowadays.,These handymen,This handyman,These,This,smart,smart,handymen,handyman,seldom,seldom,drink,drinks,"['the', 'beer']","['the', 'beer']",1,20,8
21,That smooth bank barely remembers the customers nowadays.,Those smooth banks barely remember the customers nowadays.,That bank,Those banks,That,Those,smooth,smooth,bank,banks,barely,barely,remembers,remember,"['the', 'customers']","['the', 'customers']",0,21,8
22,These smart customers ever steal the boats nowadays.,This smart customer ever steals the boats nowadays.,These customers,This customer,These,This,smart,smart,customers,customer,ever,ever,steal,steals,"['the', 'boats']","['the', 'boats']",1,22,8
23,This young pedestrian often drives the unicycles nowadays.,These young pedestrians often drive the unicycles nowadays.,This pedestrian,These pedestrians,This,These,young,young,pedestrian,pedestrians,often,often,drives,drive,"['the', 'unicycles']","['the', 'unicycles']",0,23,8
24,That wet waiter sometimes scans the reports nowadays.,Those wet waiters sometimes scan the reports nowadays.,That waiter,Those waiters,That,Those,wet,wet,waiter,waiters,sometimes,sometimes,scans,scan,"['the', 'reports']","['the', 'reports']",0,24,8
25,That busy teacher often meets the waiter nowadays.,Those busy teachers often meet the waiter nowadays.,That teacher,Those teachers,That,Those,busy,busy,teacher,teachers,often,often,meets,meet,"['the', 'waiter']","['the', 'waiter']",0,25,8
26,That old guy always remembers the child nowadays.,Those old guys always remember the child nowadays.,That guy,Those guys,That,Those,old,old,guy,guys,always,always,remembers,remember,"['the', 'child']","['the', 'child']",0,26,8
27,This little hairdresser ever descends the hill nowadays.,These little hairdressers ever descend the hill nowadays.,This hairdresser,These hairdressers,This,These,little,little,hairdresser,hairdressers,ever,ever,descends,descend,"['the', 'hill']","['the', 'hill']",0,27,8
29,These intriguing students rarely like the adult nowadays.,This intriguing student rarely likes the adult nowadays.,These students,This student,These,This,intriguing,intriguing,students,student,rarely,rarely,like,likes,"['the', 'adult']","['the', 'adult']",1,29,8
30,These good adults always eat the apple nowadays.,This good adult always eats the apple nowadays.,These adults,This adult,These,This,good,good,adults,adult,always,always,eat,eats,"['the', 'apple']","['the', 'apple']",1,30,8
31,These fake ladies always dislike the senators nowadays.,This fake lady always dislikes the senators nowadays.,These ladies,This lady,These,This,fake,fake,ladies,lady,always,always,dislike,dislikes,"['the', 'senators']","['the', 'senators']",1,31,8
32,That authentic government hardly overwhelms the pedestrians nowadays.,Those authentic governments hardly overwhelm the pedestrians nowadays.,That government,Those governments,That,Those,authentic,authentic,government,governments,hardly,hardly,overwhelms,overwhelm,"['the', 'pedestrians']","['the', 'pedestrians']",0,32,8
33,Those determined guests rarely hold the adult nowadays.,That determined guest rarely holds the adult nowadays.,Those guests,That guest,Those,That,determined,determined,guests,guest,rarely,rarely,hold,holds,"['the', 'adult']","['the', 'adult']",1,33,8
34,Those strange mouths ever overwhelm the doctors nowadays.,That strange mouth ever overwhelms the doctors nowadays.,Those mouths,That mouth,Those,That,strange,strange,mouths,mouth,ever,ever,overwhelm,overwhelms,"['the', 'doctors']","['the', 'doctors']",1,34,8
35,These tall doctors hardly eat the tomato nowadays.,This tall doctor hardly eats the tomato nowadays.,These doctors,This doctor,These,This,tall,tall,doctors,doctor,hardly,hardly,eat,eats,"['the', 'tomato']","['the', 'tomato']",1,35,8
36,This lucky lawyer hardly kisses the adult nowadays.,These lucky lawyers hardly kiss the adult nowadays.,This lawyer,These lawyers,This,These,lucky,lucky,lawyer,lawyers,hardly,hardly,kisses,kiss,"['the', 'adult']","['the', 'adult']",0,36,8
38,That short doctor scarcely drinks the cocktail nowadays.,Those short doctors scarcely drink the cocktail nowadays.,That doctor,Those doctors,That,Those,short,short,doctor,doctors,scarcely,scarcely,drinks,drink,"['the', 'cocktail']","['the', 'cocktail']",0,38,8
41,Those small doctors always cure the doctors nowadays.,That small doctor always cures the doctors nowadays.,Those doctors,That doctor,Those,That,small,small,doctors,doctor,always,always,cure,cures,"['the', 'doctors']","['the', 'doctors']",1,41,8
42,Those good oncologists sometimes repair the plates nowadays.,That good oncologist sometimes repairs the plates nowadays.,Those oncologists,That oncologist,Those,That,good,good,oncologists,oncologist,sometimes,sometimes,repair,repairs,"['the', 'plates']","['the', 'plates']",1,42,8
46,These big electricians sometimes bother the school nowadays.,This big electrician sometimes bothers the school nowadays.,These electricians,This electrician,These,This,big,big,electricians,electrician,sometimes,sometimes,bother,bothers,"['the', 'school']","['the', 'school']",1,46,8
48,These sad guests sometimes hear the cashier nowadays.,This sad guest sometimes hears the cashier nowadays.,These guests,This guest,These,This,sad,sad,guests,guest,sometimes,sometimes,hear,hears,"['the', 'cashier']","['the', 'cashier']",1,48,8
50,This fast dentist hardly examines the stories nowadays.,These fast dentists hardly examine the stories nowadays.,This dentist,These dentists,This,These,fast,fast,dentist,dentists,hardly,hardly,examines,examine,"['the', 'stories']","['the', 'stories']",0,50,8
51,That unconvinced electrician sometimes hugs the contractor nowadays.,Those unconvinced electricians sometimes hug the contractor nowadays.,That electrician,Those electricians,That,Those,unconvinced,unconvinced,electrician,electricians,sometimes,sometimes,hugs,hug,"['the', 'contractor']","['the', 'contractor']",0,51,8
53,That cruel partner sometimes sees the closet nowadays.,Those cruel partners sometimes see the closet nowadays.,That partner,Those partners,That,Those,cruel,cruel,partner,partners,sometimes,sometimes,sees,see,"['the', 'closet']","['the', 'closet']",0,53,8
54,Those great oncologists sometimes hug the guests nowadays.,That great oncologist sometimes hugs the guests nowadays.,Those oncologists,That oncologist,Those,That,great,great,oncologists,oncologist,sometimes,sometimes,hug,hugs,"['the', 'guests']","['the', 'guests']",1,54,8
55,This careless student rarely resembles the photograph nowadays.,These careless students rarely resemble the photograph nowadays.,This student,These students,This,These,careless,careless,student,students,rarely,rarely,resembles,resemble,"['the', 'photograph']","['the', 'photograph']",0,55,8
56,Those employed guests seldom breed the snakes nowadays.,That employed guest seldom breeds the snakes nowadays.,Those guests,That guest,Those,That,employed,employed,guests,guest,seldom,seldom,breed,breeds,"['the', 'snakes']","['the', 'snakes']",1,56,8
57,These gray lakes ever bother the ladies nowadays.,This gray lake ever bothers the ladies nowadays.,These lakes,This lake,These,This,gray,gray,lakes,lake,ever,ever,bother,bothers,"['the', 'ladies']","['the', 'ladies']",1,57,8
58,That big hat barely disturbs the student nowadays.,Those big hats barely disturb the student nowadays.,That hat,Those hats,That,Those,big,big,hat,hats,barely,barely,disturbs,disturb,"['the', 'student']","['the', 'student']",0,58,8
59,This big student often chooses the wine nowadays.,These big students often choose the wine nowadays.,This student,These students,This,These,big,big,student,students,often,often,chooses,choose,"['the', 'wine']","['the', 'wine']",0,59,8
60,These old doctors often buy the book nowadays.,This old doctor often buys the book nowadays.,These doctors,This doctor,These,This,old,old,doctors,doctor,often,often,buy,buys,"['the', 'book']","['the', 'book']",1,60,8
61,This nice driver barely hurts the ladies nowadays.,These nice drivers barely hurt the ladies nowadays.,This driver,These drivers,This,These,nice,nice,driver,drivers,barely,barely,hurts,hurt,"['the', 'ladies']","['the', 'ladies']",0,61,8
62,Those good drivers hardly descend the mountains nowadays.,That good driver hardly descends the mountains nowadays.,Those drivers,That driver,Those,That,good,good,drivers,driver,hardly,hardly,descend,descends,"['the', 'mountains']","['the', 'mountains']",1,62,8
64,That ordinary waiter always forgives the dancer nowadays.,Those ordinary waiters always forgive the dancer nowadays.,That waiter,Those waiters,That,Those,ordinary,ordinary,waiter,waiters,always,always,forgives,forgive,"['the', 'dancer']","['the', 'dancer']",0,64,8
65,That big guest always bites the chicken nowadays.,Those big guests always bite the chicken nowadays.,That guest,Those guests,That,Those,big,big,guest,guests,always,always,bites,bite,"['the', 'chicken']","['the', 'chicken']",0,65,8
67,Those small patients often repair the skateboard nowadays.,That small patient often repairs the skateboard nowadays.,Those patients,That patient,Those,That,small,small,patients,patient,often,often,repair,repairs,"['the', 'skateboard']","['the', 'skateboard']",1,67,8
70,These careful adults barely shake the students nowadays.,This careful adult barely shakes the students nowadays.,These adults,This adult,These,This,careful,careful,adults,adult,barely,barely,shake,shakes,"['the', 'students']","['the', 'students']",1,70,8
72,These wide slopes hardly aid the hospital nowadays.,This wide slope hardly aids the hospital nowadays.,These slopes,This slope,These,This,wide,wide,slopes,slope,hardly,hardly,aid,aids,"['the', 'hospital']","['the', 'hospital']",1,72,8
73,These wet contractors scarcely discover the guest nowadays.,This wet contractor scarcely discovers the guest nowadays.,These contractors,This contractor,These,This,wet,wet,contractors,contractor,scarcely,scarcely,discover,discovers,"['the', 'guest']","['the', 'guest']",1,73,8
74,This false association sometimes hires the handymen nowadays.,These false associations sometimes hire the handymen nowadays.,This association,These associations,This,These,false,false,association,associations,sometimes,sometimes,hires,hire,"['the', 'handymen']","['the', 'handymen']",0,74,8
77,This cruel doctor sometimes sweeps the room nowadays.,These cruel doctors sometimes sweep the room nowadays.,This doctor,These doctors,This,These,cruel,cruel,doctor,doctors,sometimes,sometimes,sweeps,sweep,"['the', 'room']","['the', 'room']",0,77,8
